image_url,name,publisher,description,category,tags,price,review_score,review_count,stock_quantity,date_added,id
https://example.com/images/ultra_yoga_mat_430.jpg,Ultra Yoga Mat 430,BrightLeaf Publishing,"The Ultra Yoga Mat 430 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Rechargeable, Lightweight, Compact, New Arrival, Bestseller",758.15,4.15,9359,1043,2021-06-03,2048
https://example.com/images/classic_backpack_167.jpg,Classic Backpack 167,BrightLeaf Publishing,"The Classic Backpack 167 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Premium, Durable, Modern, Versatile, New Arrival",15.08,2.23,20,1123,2020-08-15,4
https://example.com/images/portable_bluetooth_speaker_488.jpg,Portable Bluetooth Speaker 488,UrbanNest,"The Portable Bluetooth Speaker 488 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Durable, Wireless, Bestseller, New Arrival, Lightweight",256.36,2.76,5144,1406,2018-05-12,30725
https://example.com/images/advanced_gaming_mouse_316.jpg,Advanced Gaming Mouse 316,UrbanNest,"The Advanced Gaming Mouse 316 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"New Arrival, Giftable, Wireless, Bestseller, Essential",76.85,4.59,3235,1420,2016-08-21,28680
https://example.com/images/portable_gaming_mouse_352.jpg,Portable Gaming Mouse 352,BlueRiver Outfitters,"The Portable Gaming Mouse 352 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"New Arrival, Durable, Lightweight, Essential, Wireless",235.86,4.16,5747,906,2018-12-03,26633
https://example.com/images/smart_yoga_mat_320.jpg,Smart Yoga Mat 320,Summit Gear Co.,"The Smart Yoga Mat 320 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Compact, Modern, Waterproof, Lightweight",635.04,1.87,8267,729,2023-05-26,2059
https://example.com/images/advanced_gaming_mouse_342.jpg,Advanced Gaming Mouse 342,UrbanNest,"The Advanced Gaming Mouse 342 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Compact, Giftable",311.24,4.32,592,1020,2020-09-30,14349
https://example.com/images/portable_office_chair_492.jpg,Portable Office Chair 492,SilverLine Electronics,"The Portable Office Chair 492 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Wireless, Rechargeable, Bestseller, Ergonomic",467.06,3.46,2428,1331,2019-11-24,30736
https://example.com/images/smart_gaming_mouse_601.jpg,Smart Gaming Mouse 601,BrightLeaf Publishing,"The Smart Gaming Mouse 601 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Essential, Waterproof, Ergonomic, Wireless",316.6,2.06,4105,1520,2018-12-13,16400
https://example.com/images/professional_graphic_t-shirt_152.jpg,Professional Graphic T-Shirt 152,Maple Street Press,"The Professional Graphic T-Shirt 152 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Lightweight, Limited Edition",392.18,1.15,8660,1926,2025-03-15,20497
