imageUrl,name,publisher,description,category,tags,price,reviewScore,reviewCount,stockQuantity,dateAdded,id,photoAuthor,photoAuthorUrl
https://example.com/images/ultra_yoga_mat_430.jpg,Ultra Yoga Mat 430,BrightLeaf Publishing,"The Ultra Yoga Mat 430 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Rechargeable, Lightweight, Compact, New Arrival, Bestseller",758.15,4.2,9359,1043,2021-06-03,Slg{=KK6NHd9,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/classic_backpack_167.jpg,Classic Backpack 167,BrightLeaf Publishing,"The Classic Backpack 167 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Premium, Durable, Modern, Versatile, New Arrival",15.08,2.2,20,1123,2020-08-15,AJhS;aZjjxxz,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/portable_bluetooth_speaker_488.jpg,Portable Bluetooth Speaker 488,UrbanNest,"The Portable Bluetooth Speaker 488 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Durable, Wireless, Bestseller, New Arrival, Lightweight",256.36,2.8,5144,1406,2018-05-12,qt{;]XOT9+ff,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/advanced_gaming_mouse_316.jpg,Advanced Gaming Mouse 316,UrbanNest,"The Advanced Gaming Mouse 316 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"New Arrival, Giftable, Wireless, Bestseller, Essential",76.85,4.6,3235,1420,2016-08-21,F^;kuiNL53.e,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/portable_gaming_mouse_352.jpg,Portable Gaming Mouse 352,BlueRiver Outfitters,"The Portable Gaming Mouse 352 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"New Arrival, Durable, Lightweight, Essential, Wireless",235.86,4.2,5747,906,2018-12-03,ETv??Sp[:TsL,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/smart_yoga_mat_320.jpg,Smart Yoga Mat 320,Summit Gear Co.,"The Smart Yoga Mat 320 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Compact, Modern, Waterproof, Lightweight",635.04,1.9,8267,729,2023-05-26,jX#Viz\kJ\$^,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/advanced_gaming_mouse_342.jpg,Advanced Gaming Mouse 342,UrbanNest,"The Advanced Gaming Mouse 342 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Compact, Giftable",311.24,4.3,592,1020,2020-09-30,3u<'.DQWkYf(,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/portable_office_chair_492.jpg,Portable Office Chair 492,SilverLine Electronics,"The Portable Office Chair 492 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Wireless, Rechargeable, Bestseller, Ergonomic",467.06,3.5,2428,1331,2019-11-24,rBVyEa9;X!"+,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/smart_gaming_mouse_601.jpg,Smart Gaming Mouse 601,BrightLeaf Publishing,"The Smart Gaming Mouse 601 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,"Versatile, Essential, Waterproof, Ergonomic, Wireless",316.6,2.1,4105,1520,2018-12-13,tVbHX-pV(b_2,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/professional_graphic_t-shirt_152.jpg,Professional Graphic T-Shirt 152,Maple Street Press,"The Professional Graphic T-Shirt 152 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Durable, Wireless, Waterproof, Lightweight, Limited Edition",392.18,1.2,8660,1926,2025-03-15,9Sb+H6Xk`Kl^,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/professional_led_desk_lamp_491.jpg,Professional LED Desk Lamp 491,Horizon Tech,"The Professional LED Desk Lamp 491 by Horizon Tech delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the office supplies category, offering a strong balance of value and functionality.",Office Supplies,"Bestseller, Waterproof, Versatile, Lightweight, Rechargeable",177.73,3.3,21,404,2025-03-20,l2(o/Z5@-(B*,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/professional_led_desk_lamp_363.jpg,Professional LED Desk Lamp 363,SilverLine Electronics,"The Professional LED Desk Lamp 363 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the electronics category, offering a strong balance of value and functionality.",Electronics,"Rechargeable, Lightweight, Essential, Giftable, Durable",181.82,3.9,7031,1585,2019-04-30,wWnF4p>^)h*[,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/professional_gaming_mouse_219.jpg,Professional Gaming Mouse 219,Maple Street Press,"The Professional Gaming Mouse 219 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Portable, Ergonomic, Versatile, Limited Edition, Premium",226.9,2.0,3321,16,2018-08-23,SaR~A'qMP1to,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/compact_external_hard_drive_394.jpg,Compact External Hard Drive 394,BlueRiver Outfitters,"The Compact External Hard Drive 394 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Giftable, Durable, Bestseller, Essential, Waterproof",189.89,5.0,1715,1911,2025-12-25,"""!BGSd""/Vn""j",Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/smart_science_fiction_novel_619.jpg,Smart Science Fiction Novel 619,Summit Gear Co.,"The Smart Science Fiction Novel 619 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,"Portable, Wireless, Lightweight, Giftable, Limited Edition",777.92,1.2,4852,735,2021-01-24,ET5z@aL(ZRLH,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/portable_stainless_steel_water_bottle_841.jpg,Portable Stainless Steel Water Bottle 841,Horizon Tech,"The Portable Stainless Steel Water Bottle 841 by Horizon Tech delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the electronics category, offering a strong balance of value and functionality.",Electronics,"Modern, Durable, Giftable, Portable, Compact",175.88,1.9,5118,913,2017-01-25,8Bw>#<Ugoe8q,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/professional_stainless_steel_water_bottle_830.jpg,Professional Stainless Steel Water Bottle 830,BlueRiver Outfitters,"The Professional Stainless Steel Water Bottle 830 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the sports & outdoors category, offering a strong balance of value and functionality.",Sports & Outdoors,"Ergonomic, Modern, Waterproof, Essential, Giftable",221.44,1.6,5402,1504,2025-12-28,u:t=kUY\i;(7,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/ultra_backpack_708.jpg,Ultra Backpack 708,SilverLine Electronics,"The Ultra Backpack 708 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Limited Edition, Lightweight, Durable, Compact, Bestseller",421.96,1.3,4520,743,2016-01-20,"J8PN,D_R8-ua",Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
https://example.com/images/premium_running_shoes_678.jpg,Premium Running Shoes 678,BlueRiver Outfitters,"The Premium Running Shoes 678 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,"Premium, Limited Edition, Versatile, Essential, Wireless",324.1,3.9,2703,1115,2019-11-05,hcvq)VCke6/z,Kalen Emsley,https://unsplash.com/@kalenemsley?utm_source=sse554_capstone&utm_medium=referral
