image_url,name,publisher,description,category,tags,price,review_score,review_count,stock_quantity,date_added
https://example.com/images/product_1.jpg,Mini Projector HD,TechNova,Mini Projector HD by TechNova. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"fast-charging, ergonomic, new-arrival, bestseller",336.79,4.6,4164,327,2025-09-24 01:16:47
https://example.com/images/product_2.jpg,Stainless Steel Water Bottle,BrightTech,Stainless Steel Water Bottle by BrightTech. High-quality sports & outdoors product designed for everyday use and long-term durability.,Sports & Outdoors,"new-arrival, compact, smart, ergonomic",265.65,4.7,10299,998,2025-10-17 01:16:47
https://example.com/images/product_3.jpg,Mechanical Keyboard,NextGen,Mechanical Keyboard by NextGen. High-quality travel product designed for everyday use and long-term durability.,Travel,"waterproof, wireless, smart, new-arrival",326.13,4.5,11004,813,2025-09-04 01:16:47
https://example.com/images/product_4.jpg,Portable Blender,FitZone,Portable Blender by FitZone. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"wireless, lightweight, fast-charging, portable",310.1,4.2,7880,726,2024-12-24 01:16:47
https://example.com/images/product_5.jpg,Wireless Charging Pad,NovaStyle,Wireless Charging Pad by NovaStyle. High-quality travel product designed for everyday use and long-term durability.,Travel,"budget, portable, wireless, ergonomic",392.03,4.0,7743,474,2024-09-08 01:16:47
https://example.com/images/product_6.jpg,LED Desk Lamp,PureLiving,LED Desk Lamp by PureLiving. High-quality smart home product designed for everyday use and long-term durability.,Smart Home,"lightweight, multi-use, portable, budget",162.01,3.3,2345,156,2024-12-20 01:16:47
https://example.com/images/product_7.jpg,Mechanical Keyboard,PrimeHouse,Mechanical Keyboard by PrimeHouse. High-quality office supplies product designed for everyday use and long-term durability.,Office Supplies,"eco-friendly, waterproof, bestseller, portable",336.36,4.4,11423,185,2026-02-08 01:16:47
https://example.com/images/product_8.jpg,LED Desk Lamp,PrimeHouse,LED Desk Lamp by PrimeHouse. High-quality office supplies product designed for everyday use and long-term durability.,Office Supplies,"fast-charging, durable, waterproof, new-arrival",550.13,3.9,7253,298,2025-12-22 01:16:47
https://example.com/images/product_9.jpg,Cordless Vacuum Cleaner,HomeEase,Cordless Vacuum Cleaner by HomeEase. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"compact, fast-charging, bestseller, multi-use",153.43,4.5,9589,117,2025-06-08 01:16:47
https://example.com/images/product_10.jpg,Smart Home Speaker,CoreMax,Smart Home Speaker by CoreMax. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"wireless, premium, bestseller, lightweight",474.85,2.9,3938,960,2025-06-23 01:16:47
https://example.com/images/product_11.jpg,Organic Green Tea Pack,NovaStyle,Organic Green Tea Pack by NovaStyle. High-quality smart home product designed for everyday use and long-term durability.,Smart Home,"premium, compact, fast-charging, smart",555.3,3.2,11002,418,2024-06-22 01:16:47
https://example.com/images/product_12.jpg,Yoga Mat Pro,ActiveCore,Yoga Mat Pro by ActiveCore. High-quality fitness product designed for everyday use and long-term durability.,Fitness,"eco-friendly, waterproof, budget, smart",398.94,4.3,4647,925,2025-07-10 01:16:47
https://example.com/images/product_13.jpg,Noise Cancelling Earbuds,GadgetPro,Noise Cancelling Earbuds by GadgetPro. High-quality accessories product designed for everyday use and long-term durability.,Accessories,"new-arrival, waterproof, portable, compact",268.17,4.0,3756,342,2025-07-02 01:16:47
https://example.com/images/product_14.jpg,Stainless Steel Water Bottle,GadgetPro,Stainless Steel Water Bottle by GadgetPro. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"premium, compact, bestseller, smart",409.69,2.8,8068,363,2024-03-16 01:16:47
https://example.com/images/product_15.jpg,Smart LED Light Bulb,PureLiving,Smart LED Light Bulb by PureLiving. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"smart, waterproof, lightweight, new-arrival",47.63,4.0,1684,515,2024-10-27 01:16:47
https://example.com/images/product_16.jpg,Digital Kitchen Scale,GreenLife,Digital Kitchen Scale by GreenLife. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"new-arrival, portable, multi-use, eco-friendly",110.02,2.7,11428,204,2024-06-28 01:16:47
https://example.com/images/product_17.jpg,Stainless Steel Water Bottle,EcoWare,Stainless Steel Water Bottle by EcoWare. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"compact, eco-friendly, ergonomic, fast-charging",102.9,4.2,4006,586,2024-08-25 01:16:47
https://example.com/images/product_18.jpg,4K Action Camera,FitZone,4K Action Camera by FitZone. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"compact, ergonomic, wireless, bestseller",364.6,4.2,12995,499,2024-07-06 01:16:47
https://example.com/images/product_19.jpg,Ergonomic Office Chair,FitZone,Ergonomic Office Chair by FitZone. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"durable, eco-friendly, multi-use, smart",514.39,4.7,4077,896,2025-01-17 01:16:47
https://example.com/images/product_20.jpg,Mechanical Keyboard,ActiveCore,Mechanical Keyboard by ActiveCore. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"compact, lightweight, new-arrival, portable",367.42,3.9,5919,65,2024-03-20 01:16:47
https://example.com/images/product_21.jpg,Aromatherapy Diffuser,FitZone,Aromatherapy Diffuser by FitZone. High-quality travel product designed for everyday use and long-term durability.,Travel,"smart, fast-charging, waterproof, eco-friendly",516.0,4.4,8959,297,2024-11-24 01:16:47
https://example.com/images/product_22.jpg,Organic Green Tea Pack,PureLiving,Organic Green Tea Pack by PureLiving. High-quality smart home product designed for everyday use and long-term durability.,Smart Home,"portable, durable, budget, multi-use",149.07,3.8,7386,870,2025-12-15 01:16:47
https://example.com/images/product_23.jpg,Mini Projector HD,NovaStyle,Mini Projector HD by NovaStyle. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"durable, multi-use, budget, eco-friendly",320.28,3.6,10927,236,2025-07-31 01:16:47
https://example.com/images/product_24.jpg,Portable Phone Charger,FitZone,Portable Phone Charger by FitZone. High-quality home & kitchen product designed for everyday use and long-term durability.,Home & Kitchen,"eco-friendly, compact, multi-use, smart",426.86,2.6,4030,919,2024-05-10 01:16:47
https://example.com/images/product_25.jpg,Mechanical Keyboard,EcoWare,Mechanical Keyboard by EcoWare. High-quality accessories product designed for everyday use and long-term durability.,Accessories,"eco-friendly, bestseller, new-arrival, waterproof",590.61,4.9,5349,624,2024-11-15 01:16:47
https://example.com/images/product_26.jpg,Cordless Vacuum Cleaner,FitZone,Cordless Vacuum Cleaner by FitZone. High-quality travel product designed for everyday use and long-term durability.,Travel,"wireless, smart, waterproof, budget",306.19,3.7,13066,567,2024-08-12 01:16:47
https://example.com/images/product_27.jpg,Smart Home Speaker,ZenithLabs,Smart Home Speaker by ZenithLabs. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"eco-friendly, fast-charging, premium, compact",519.04,3.8,170,357,2025-11-07 01:16:47
https://example.com/images/product_28.jpg,Portable Blender,BrightTech,Portable Blender by BrightTech. High-quality sports & outdoors product designed for everyday use and long-term durability.,Sports & Outdoors,"premium, durable, eco-friendly, waterproof",99.44,3.7,2003,977,2025-01-13 01:16:47
https://example.com/images/product_29.jpg,Smart LED Light Bulb,PureLiving,Smart LED Light Bulb by PureLiving. High-quality health & personal care product designed for everyday use and long-term durability.,Health & Personal Care,"fast-charging, waterproof, ergonomic, bestseller",433.06,4.2,1901,749,2024-08-25 01:16:47
https://example.com/images/product_30.jpg,Yoga Mat Pro,ActiveCore,Yoga Mat Pro by ActiveCore. High-quality travel product designed for everyday use and long-term durability.,Travel,"wireless, fast-charging, premium, ergonomic",45.52,4.8,9152,358,2025-01-02 01:16:47
https://example.com/images/product_31.jpg,LED Desk Lamp,EcoWare,LED Desk Lamp by EcoWare. High-quality electronics product designed for everyday use and long-term durability.,Electronics,"ergonomic, new-arrival, smart, waterproof",40.27,2.8,805,403,2024-08-24 01:16:47
